subject_id,CRRP_Allocation_global_mean,CRRP_Flexibility_global_mean,CRRP_Residual_global_mean,CRRP_Contrast_global_mean,CRRP_Switching_global_mean,stability_margin,stability_margin_obs_tha,stability_margin_obs_bg,stability_margin_obs_cb,E_Pobs_tha,E_Pobs_bg,E_Pobs_cb,E_cort,C_reg,E_g_update
100206,0.366009942177263,0.0026835839121235215,5.560374407957879e-06,6.492982108457025e-06,0.000540817169803782,-0.006522877448974073,-0.021271032687741886,-0.03419760698332417,-0.06183081221799827,1433.050126390924,2236.604953442489,3540.5021125522253,7699.046235025573,17035.80666301802,0.0021961398331254056
100307,0.410152616126887,0.0008674208111518377,1.6470879954410984e-06,1.563948827667815e-06,0.0001391325516648769,-0.005056945745613738,-0.06435611582388731,-0.0838237990551892,-0.09832627212829743,844.9725644740555,1352.786349101956,2050.725202799609,14163.611303974709,20885.566451077408,0.00019295184147080055
100408,0.3774045105155583,0.0010233800865311177,3.2364424689134276e-06,3.3248770110351682e-06,0.00029246384328725905,-0.005347702201902286,-0.03761787357778641,-0.04884690246488429,-0.06488522451887732,1253.6136930302,1873.599208321508,2841.972088888022,12558.204373776334,19465.390343145966,0.0006965220893074067
100610,0.38348226598343116,0.0037957859320779763,6.436877117473223e-06,7.581471071831179e-06,0.0006289925336821737,-0.006815748778601217,-0.01776477899688672,-0.03022651037572929,-0.048468689876498106,1506.5132898288662,2347.9480424328126,3717.020241902562,7769.285297349568,16673.07804355759,0.0029264296751313713
101006,0.3761961778130874,0.0011152575155358748,3.632102010744168e-06,3.296858196663657e-06,0.00030804452630580774,-0.005346266479372315,-0.03622160819138304,-0.04595535819656865,-0.07229202519105446,1168.6669180905312,1795.012863398285,2827.66372500953,11883.68341710909,18588.5705872421,0.0007541762832882969
101309,0.40419738815148465,0.0021094426187857835,5.324756892113109e-06,5.407573482367179e-06,0.000483535774592759,-0.0063401342408575725,-0.024445523530203815,-0.03596337670856421,-0.0648809619965991,1455.8104939173318,2217.795137643422,3443.629290574241,11082.21353484079,18288.64457469116,0.0017137728326998857
101410,0.3438744064459121,0.000811313866793216,2.7484784090779613e-06,2.972362800711387e-06,0.00025150276321776353,-0.005266946779552969,-0.04291944311940059,-0.061912999668881405,-0.09832475647780713,1133.402385071813,1743.1145151644744,2659.738486136482,13015.267819609742,18710.415883358473,0.0005484693664185266
101915,0.37678925238236016,0.0005933704065712267,2.244948676678806e-06,2.3915490608127908e-06,0.00020314206219828053,-0.005132140395903775,-0.046542741057890524,-0.08071760135569314,-0.10048276775145162,971.3758375528332,1538.6757796009256,2347.382590615938,14335.033666910753,19949.27674300919,0.0003494481764517272
102008,0.3944549899415014,0.0007670509881461955,2.6612226218287106e-06,2.636633467311028e-06,0.00023343260136543742,-0.005261052665977095,-0.05060918824931281,-0.06232024220460626,-0.09011471872317588,1180.349364260498,1741.0535753927102,2626.3894630176264,13026.0263386046,19401.82579568884,0.0004724516399920072
102311,0.3691332506795382,0.0008535217216093752,2.564792430858899e-06,3.2281744546113127e-06,0.00025419383446123974,-0.005229554901787847,-0.03535967088695738,-0.0618783923692391,-0.08112049890916763,1116.4225692958703,1736.4198974179217,2522.0752922936745,15692.187675949868,19498.270106772412,0.0005731810589977948
102513,0.38880553843164223,0.003910396971626176,6.882396360704795e-06,6.942730220481409e-06,0.0006273416986334743,-0.007477070754190235,-0.019700194921337802,-0.026519203226985467,-0.05199358816273348,1547.4028810668976,2413.267386398043,3836.8147127520797,8109.827704186731,17441.865830201383,0.00288835990017538
102614,0.39577900320491183,0.001149654705314286,3.4170014178112602e-06,3.5492337446124297e-06,0.0003104516247929117,-0.005294382513004618,-0.029791873616957745,-0.045046149760943385,-0.08177867691014444,1092.3829717242897,1795.699685855495,2796.3105152930516,11531.66201195735,18469.002539870104,0.0008180721868340309
102816,0.41519283675107105,0.0011486829796783433,3.549905138892934e-06,3.954077439694218e-06,0.00033473828439598105,-0.005551350274332966,-0.026038760576804744,-0.036321025424114396,-0.07261297899022287,1228.843422932119,1895.7355962511533,2939.8110697500892,12288.044890430152,19908.605513446688,0.0008801953001048464
103010,0.35765395920386156,0.00156997855804112,4.392851472094094e-06,4.784210849238788e-06,0.0004075619539791745,-0.0058316617317689026,-0.024261523107717235,-0.041833670916432426,-0.06752813719968646,1366.9323761737098,2045.1669187333216,3142.4488348605123,10716.093830717757,18046.884965203797,0.0013596044545234256
103111,0.4081268942179442,0.0008261993838735791,2.6811837210367582e-06,2.688258618446572e-06,0.0002356590839846454,-0.005175593423409709,-0.034338202436371416,-0.05806875538459614,-0.10436051133807875,984.0624812314874,1605.9533298872227,2496.50008469978,12132.559205097488,19316.405939063567,0.0004873403770228292
103212,0.35177494347991795,0.0033841118059165865,6.4050454272302695e-06,7.051432539245795e-06,0.0006031768841408197,-0.00694088404768789,-0.020232023861733506,-0.037561276615452666,-0.05890776384972229,1523.86758813712,2409.2629892819477,3810.5041557352324,6927.7202648985885,16462.27373318056,0.002710815608232733
103414,0.37072465112286584,0.0013171803188347072,3.299370806600393e-06,3.4487354788834895e-06,0.00029894230340053664,-0.0053337948334724345,-0.029643764616931724,-0.05144028964901511,-0.09170598707561899,1157.0687522078053,1811.3484997962703,2825.1303675128192,11322.82966703066,18730.073970335896,0.0007493758570427167
103515,0.3601478768800061,0.0011361587059786717,2.978863943395415e-06,3.2874805049897926e-06,0.0002762766604936509,-0.005264101523511849,-0.03542239090610745,-0.04940311192039494,-0.0752894561177375,1123.4725039999955,1799.725322577854,2732.227145543749,12219.970013793625,18677.08662422378,0.0006038215162817511
103818,0.4016275090256806,0.003891871264918863,6.596680422699798e-06,7.003797002139729e-06,0.0006145209919537431,-0.006601707412522417,-0.0156080931544362,-0.035212015522984925,-0.05406535872087814,1424.9193469024874,2354.113414320146,3733.890040976948,7483.751396691264,16814.192695064758,0.0028011081108130598
104012,0.3531075485853434,0.0016271022915854464,3.9590627175717135e-06,4.904587843521264e-06,0.0003943039551304679,-0.005742777468767104,-0.026770064430321296,-0.04969984903147392,-0.07448090832180367,1344.563611595819,2069.6710592775967,3084.814935697069,10223.78191783487,17827.004798810736,0.0012086528552748236
104416,0.39820895897543485,0.002212602398481948,4.787081999173551e-06,5.8380993263894636e-06,0.00047820216813368596,-0.0060396689645175715,-0.02033378037144268,-0.030966956930916747,-0.053781770465336866,1312.2089483043117,2116.255132665298,3273.723304691794,10389.750329020184,17850.92325551008,0.001751578508723755
104820,0.3650117443214438,0.0019140597690176274,5.32238704091864e-06,5.0717950751296455e-06,0.0004635943955849474,-0.0058676191622338055,-0.023528908836760485,-0.036032776157941274,-0.05940565861142459,1411.3052611156954,2169.897656298892,3421.631173198097,8973.464420985403,17447.956212743757,0.0016395444201274072
105014,0.4076598230916268,0.002688293472297259,5.889676262537647e-06,6.565192622311575e-06,0.0005580013529281498,-0.0073440844066246114,-0.01723314096898508,-0.027787956164231194,-0.05748775019135802,1447.2019145919426,2301.250415765169,3695.357865772063,8527.882091004098,17475.734362019593,0.0023509737011873054
105115,0.4027717614304329,0.0017820309207278815,4.2286554071638284e-06,4.579472371534645e-06,0.0003936086468721556,-0.005874453553166607,-0.03319155942841835,-0.04091610950156627,-0.06693666880234715,1345.295961634826,2026.6693957629168,3162.709719665457,12061.074462304474,19457.581633168553,0.0011903582600719439
105216,0.4285066714186449,0.003197684696257728,5.9559156848560815e-06,6.278706103253548e-06,0.0005554689028347688,-0.007064290112126406,-0.020127366402690985,-0.03021226050572018,-0.050551332027172324,1461.5530165050618,2301.6889078786307,3584.78657987467,9369.592280979656,17675.437367188493,0.0023149289033626555
105620,0.3573262444055621,0.00115246379377305,2.413303866168218e-06,2.7145107274727376e-06,0.00022597958486845037,-0.0051972828341779465,-0.04303727535989167,-0.07308725110212355,-0.09864904837846544,1047.5239125801643,1623.80918961184,2408.518588783376,15310.618786832149,19347.955801618835,0.00041884329480574044
105923,0.3288893793390878,0.0010694212686449545,3.0083892699347472e-06,2.954918395666234e-06,0.0002624536710975917,-0.005230467797351191,-0.04579874534182945,-0.06315713310063917,-0.08587662189203334,1082.2750745277185,1704.7469610355483,2664.645223141702,11196.710689014413,18369.16820972305,0.0005891266881979882
106016,0.3639263571616756,0.0006963121089916386,1.5695667573365016e-06,1.4861973844360626e-06,0.00013116096164509958,-0.005061847505729661,-0.06804661641039597,-0.09091510548065411,-0.11902690272882692,887.7789250669924,1357.8486999334243,2055.6739953239457,14501.857558067884,20946.904233232162,0.00015572444071519946
106319,0.3943879561201936,0.002790460351062686,5.513191550170569e-06,5.633911853709689e-06,0.000497555716905481,-0.005739216953097748,-0.0233660478065,-0.03765396900516177,-0.053600061210728245,1321.824432070026,2168.5096458064513,3442.6572789566785,10223.940404391065,17619.72650820984,0.0019535797791963654
106521,0.3773034217329095,0.0012397959329708882,2.9904530918402764e-06,3.1415275822611367e-06,0.00027123494947142577,-0.005393104909859361,-0.03189454498115482,-0.056889493123149955,-0.0864529967458402,1228.6196965199122,1815.1887933212502,2704.5482764734543,12788.862295841645,19867.915377537152,0.0006046638501911961
106824,0.363299965728488,0.0007635667296678005,2.273485586448052e-06,2.4811265441705314e-06,0.00020726932372582856,-0.005167168932198745,-0.04905643519058634,-0.07993528154034811,-0.10367484616463432,1028.0552710004677,1607.581666358908,2402.193625123486,13611.24441290395,19130.243936237122,0.00037773431606187975
107018,0.3505249409684177,0.001436881933310146,4.187967899558474e-06,4.630355040773717e-06,0.00039046114477081354,-0.005619070651147112,-0.02476881755689561,-0.05252064262883012,-0.08189590373088988,1292.0722600242636,2053.44677237651,3200.8848671847704,10222.525251793368,17313.994421637384,0.001215054669581982
107321,0.37762400538343294,0.0006127462162193934,2.1767617645898562e-06,2.2390015589178555e-06,0.00019244999935198785,-0.005103216959248591,-0.051217839419982696,-0.07493035108867126,-0.11946037335280671,938.968827770236,1534.1165545254482,2296.0381267429316,13831.499928016354,19884.548532925823,0.0003144497644811124
107422,0.3525030867909479,0.0006768014248739268,2.4167058059272307e-06,2.4489111386427467e-06,0.00021283049289873437,-0.005154150743378303,-0.051371127001337,-0.07881180876364287,-0.1066809563442847,1034.403312040985,1602.0976661182679,2452.200045864913,14199.032972629117,20285.567684125173,0.00037880560414465646
108020,0.3871735963368205,0.002448222185556917,5.2387985767899595e-06,5.212830798701584e-06,0.0004654496518254514,-0.0059184519758337575,-0.017705018284022822,-0.04101642039220466,-0.060277908553292424,1369.1772934655799,2173.9115768602364,3443.8560430088305,8414.255634980685,17122.68266567301,0.0016834106938231751
108121,0.350707062894121,0.0006347254512294614,1.7217304625499996e-06,1.914927373437073e-06,0.0001578366933843093,-0.005108235400176908,-0.06710486582292337,-0.1030697539993416,-0.13288143205316602,945.1724099447674,1441.335640058419,2139.9296885690073,13489.882484505308,20539.203342246845,0.00023505623934395154
108222,0.4289463355225672,0.001512855030214544,3.856079919267883e-06,3.5478225454680366e-06,0.00033147742283902567,-0.005531616901474693,-0.030879608671379108,-0.04103640799880222,-0.06973726030196643,1220.1910010554225,1876.5463295001166,2993.005038572497,12230.391731911559,19481.4415268343,0.0008729037522184834
108525,0.3512762217064819,0.0010476675223029849,4.119112689565355e-06,4.0774726712382754e-06,0.0003613865992288908,-0.005517080137562113,-0.03521750290214913,-0.05721539172248755,-0.07928437966166131,1294.0683891765882,2011.1849001820112,3151.6767186961106,8745.946071451734,16744.996219599077,0.0010123189426393493
109830,0.3844230118470871,0.003157417981991296,6.143902584402231e-06,5.986053008069726e-06,0.0005446090330238888,-0.006446926577708184,-0.018600987400531867,-0.034383772386113495,-0.052449216157380456,1425.9346222762833,2308.877961395314,3728.698230505198,6215.321323759624,16701.32774005656,0.002294125357328996
110007,0.37507395336548216,0.0008337351899662153,2.8753550463199343e-06,3.2653894070696586e-06,0.0002713687066446744,-0.005313573863337157,-0.04187134982719455,-0.05627114425359921,-0.09069127743265082,1148.8744622428585,1764.8231770094535,2672.370421982832,14502.993438161835,19443.920906567575,0.0005883089240176771
110411,0.4303589220590308,0.0009059779706683738,2.8875111389715792e-06,3.194081153033949e-06,0.0002700820307216837,-0.005400097616717149,-0.02818947897618105,-0.040022282907915235,-0.0745844540068237,1235.7863862891763,1847.954035678852,2745.6106359423275,13716.37440286415,20661.388042375504,0.0005913412441862924
110613,0.38643869748318066,0.0015624787251158282,4.491436602140265e-06,4.750829211363847e-06,0.00040953656887679507,-0.006391122552496001,-0.025944679601072523,-0.039915321216861734,-0.05735060139501406,1422.998169328028,2139.2957325575344,3281.2504857804515,9378.265855075519,18334.913493337506,0.0012524644189086248
111009,0.38351978140094956,0.0008340673810826944,2.798354391445884e-06,2.7236816396819702e-06,0.00024256816561979313,-0.005177381994005709,-0.03808620286400392,-0.05381862368902686,-0.07561961642080117,997.9562664290479,1609.1677180470426,2500.5214688746337,14263.77103475164,19011.82518042222,0.0004967553591310096
111211,0.3662097009181436,0.0009290869770884871,3.162160677004057e-06,3.5707614631985283e-06,0.0002961567676575462,-0.005419444763247155,-0.032818940129611285,-0.06036467010034274,-0.07733358309026758,1252.0841075181754,1904.3574905527341,2858.772073567197,11150.736232936939,18325.941636042215,0.0006995118604352837
111312,0.3813962476398812,0.003986337984253902,6.5247313646900754e-06,8.055116695710109e-06,0.0006562128196665486,-0.0076373006105909845,-0.01849178108273237,-0.03237196010039087,-0.06037911545266185,1514.7933204887959,2401.9549780656225,3798.184199217391,8157.115024310109,17577.738615822647,0.0031589377803801317
111413,0.35775998654672997,0.003288887034179313,6.28291153929121e-06,6.809139801596953e-06,0.000590909064732813,-0.007167916893416223,-0.02313215056320883,-0.03933793901143206,-0.056300992798268765,1504.3869371665753,2375.742734976069,3744.4269708575935,6459.223204241997,16506.727356346022,0.0025904297087763176
111716,0.37050057442336864,0.00063118791892613,2.13876553864722e-06,2.5829349963330514e-06,0.000206566541452482,-0.005167544583589905,-0.03902369257532454,-0.07690122950063,-0.10043458230599017,1041.9606045672242,1633.0754115932418,2372.0782703632476,12159.50850073078,20217.457691095944,0.00037005964802980836
112112,0.3755581144001092,0.0010145526392490265,3.063688731087252e-06,3.313700296370822e-06,0.0002834467293713374,-0.005364379553029805,-0.031579161666043784,-0.0591374390906609,-0.08412039164089005,1231.556576374252,1871.7099414652578,2799.517293905084,12442.196346669338,19202.090957441138,0.0006516489271868211
112314,0.37922659055580477,0.0011454886215413005,3.7766606567226095e-06,3.906783722700463e-06,0.0003415524362483695,-0.0054105154817842924,-0.03236477462506181,-0.04938188983834988,-0.07264172332996258,1190.7891200327972,1904.8199300866668,2940.4480767032424,10365.875863847863,17387.605882440625,0.0009395148070092869
112516,0.37627341898903843,0.002611997726558846,5.336865976980482e-06,5.2426836262046325e-06,0.0004769335692201658,-0.005946013567754704,-0.023949758398070602,-0.043068170311580264,-0.06101041931065805,1319.399180686703,2098.9954045644995,3385.2779675350444,8162.407206234408,16911.982244963358,0.0017766349624890765
112819,0.38131689453924666,0.0010671168333868104,2.94152413855052e-06,2.780565652318186e-06,0.00025186378932648233,-0.00525298930154507,-0.03785542955720615,-0.05737652672824578,-0.08688705060401858,1121.1935600526936,1713.0655209928952,2666.443056859516,14464.35355559912,18542.3222386878,0.0005317332597142846
114823,0.3935660943773172,0.0016549578487175035,4.642848915396965e-06,4.934182825150383e-06,0.00042807550370273256,-0.005745887154805715,-0.02052963714629982,-0.0404188826642773,-0.056664132975610904,1287.0014473585725,2072.0587107540205,3228.3871962387357,8389.953205617641,17313.551128643234,0.0014685512116075757
115320,0.39022510451646175,0.0030498105324449467,6.15309329975448e-06,6.989871880046882e-06,0.0005923780753807216,-0.00742686343628981,-0.023168428952198127,-0.035515329734088094,-0.054314650478316094,1467.9023675146323,2329.127819893041,3690.2111677141384,8234.444433747332,17566.165660876166,0.0026142698569192407
116726,0.3788067596482665,0.001109691160149745,3.6531893531475754e-06,3.7810193097835296e-06,0.0003307229706021855,-0.005377621741856128,-0.03397511728876332,-0.056215066757900445,-0.07180120165180232,1221.5382375066763,1882.2345358729274,2881.737897730469,13131.6590110222,18487.609624690675,0.0008867213139594093
117021,0.42434422377969006,0.0009088573019531132,3.3862722069330172e-06,3.471084300435361e-06,0.00030252017575459265,-0.005392679282789078,-0.030517352980092456,-0.042501952583437266,-0.07929791356137084,1232.7792430691918,1925.1843214401908,2982.3263969994478,12889.010955805765,18678.63246602452,0.0007210388090921904
117122,0.3639062107990337,0.0011344509558951735,3.758591248515774e-06,3.731581618716082e-06,0.00033325287037263147,-0.00535200184448115,-0.03060457276790417,-0.041439048289315925,-0.07768238428820796,1202.8293838129393,1888.3006274170407,3002.7363356611922,11686.235234374308,18223.879604636666,0.00088599775624575
117324,0.38724870979613046,0.0014305206564832506,3.599121616243375e-06,3.968168292793191e-06,0.00033657425001947503,-0.005514625055661623,-0.02574215005038427,-0.05309371178575236,-0.06795308647508805,1253.5560939568327,1939.0423246160783,2910.695723715331,10281.00415917219,17945.65934172467,0.0009410227437629468
117930,0.3958867484722093,0.0008415398568889154,2.1989819503333066e-06,2.0900833525588417e-06,0.00018743966233390912,-0.005126916578162617,-0.04866668813249738,-0.061009608442991116,-0.09362920601062938,1015.3540268224684,1531.433549264568,2326.9077676185593,12400.472586235062,20316.113515753503,0.000314806039302681
118023,0.34638357452859,0.005959909769958318,9.924831923149154e-06,9.329158764160555e-06,0.0008687960948665126,-0.008894822502160801,-0.019685315605447087,-0.031041774343622264,-0.049960251116514705,1573.6502412333261,2646.146980842182,4599.37668780364,3861.0126327922508,16018.84631386314,0.005514268183196601
118124,0.40357013360728006,0.0013452340723455636,4.240330247242552e-06,3.8738133378060786e-06,0.0003606332030712023,-0.0054019278403819905,-0.031080914892882124,-0.04503767457914328,-0.06447277981000529,1199.5239449689561,1872.218740073255,3035.3732543588517,10752.062946697277,18675.701354469067,0.001039058169982703
118225,0.3605075976495731,0.0025145502010318244,5.573024834545834e-06,6.528690329515439e-06,0.0005452612290136054,-0.007351748241334938,-0.023087289734034733,-0.0375799606795944,-0.05915187081090385,1443.8599051606304,2269.8803708080245,3567.7178203497688,7878.4892026438065,16994.163978269,0.002213220715168661
118528,0.36826097934142843,0.0026242460821669948,5.884240053680658e-06,6.175658178134047e-06,0.000536945706231493,-0.006688726774442821,-0.020488907518478747,-0.03338438716392618,-0.057504598602521405,1444.260078902352,2244.1430299901235,3655.344410619561,8903.416809859375,17361.618090472773,0.002163970914212547
118730,0.38530921553034053,0.0009091966589158515,2.628792154425144e-06,2.6329197551014974e-06,0.00023205712635629783,-0.005179439884101002,-0.04038800027497011,-0.05612558517832001,-0.09631875317956878,1046.024609782763,1634.3281210598668,2482.5710722381664,12716.595417115546,20084.998685269304,0.00046874373583845715
118831,0.36825726569781364,0.0015452143666882178,4.363326703978154e-06,4.648457715057673e-06,0.0004016828817383296,-0.005802281930349238,-0.02442056564937119,-0.044174662092267836,-0.06494175492421975,1394.0514959794068,2085.5326937409905,3205.5774404233625,12337.216426434597,19190.72405248701,0.0012263990794190115
118932,0.42680138405761686,0.0033987960145621886,6.320190712098611e-06,6.848144398650987e-06,0.0005937673058527019,-0.007047087009320241,-0.01937669579413373,-0.030386523424927307,-0.05996483114712272,1517.94864715623,2319.277350794235,3712.1448767879056,7710.947172624171,17279.13944158319,0.0025534341137553834
119025,0.3539986908000599,0.0026996660479620942,5.630719621402154e-06,7.433410150447745e-06,0.0005799692214979262,-0.007410333971026157,-0.01834325049876035,-0.041595488629516064,-0.06291224026592634,1455.565281714929,2295.042840346744,3554.1796607132255,7565.670339503593,17083.144178064933,0.0025625616365803857
119126,0.396346239221823,0.0013573485879058622,4.166437774076613e-06,4.715294475869668e-06,0.000395698477570595,-0.006153115256014629,-0.02520642030624019,-0.03848061536221188,-0.06833563375272134,1373.9107828578972,2090.5618309439183,3133.0089505971778,10982.562104230365,18680.386519933698,0.0012091174960487587
119732,0.38251887925185213,0.0007739649285193688,2.7161230992983137e-06,3.139315660405282e-06,0.00025741193144960417,-0.0053372770548960405,-0.04230936615740806,-0.0616676373837989,-0.0801518884893443,1151.6520195380908,1832.490202756342,2726.750173512816,13140.999422969695,19747.64172135596,0.0005531225085384288
119833,0.35979146231835485,0.0008134949264099572,3.111792274825111e-06,3.3217990154275657e-06,0.0002845508843266788,-0.005301217075683554,-0.03322774448467182,-0.056594620520817956,-0.08109867547140354,1203.5902456831989,1853.7069373302736,2812.2941580299425,12009.137722599175,18950.54634888827,0.0006737525131713907
120010,0.37211268881102555,0.002396357182378827,5.677061334887349e-06,6.102594917428482e-06,0.0005320318981442997,-0.0063052480466178566,-0.023379783186156296,-0.03713671254374924,-0.056854155811348575,1429.2394928600095,2260.8579874043917,3592.6125040460965,9550.295072022576,17703.319147774244,0.0021058787177797617
120111,0.37723478778564795,0.003021811881867186,6.169556787221416e-06,6.8895812474589355e-06,0.0005853600920770072,-0.00726088519759964,-0.020612719624116146,-0.034328279973456555,-0.05021167370350632,1498.9796589159616,2345.5912438606883,3726.6464222300083,6481.836852415787,16656.956030078283,0.0026033970409039472
120212,0.3241159880316975,0.0010328969095909572,3.538952995176659e-06,4.039720809713241e-06,0.0003354621698554974,-0.0055940531604457815,-0.029356536408659095,-0.05866398506980253,-0.07478086445987195,1266.0146091672348,1984.313334380528,3020.4804851120207,9989.301948361914,17214.675501177062,0.0009027149708885205
120414,0.34466466892705055,0.002396394883812318,6.132311124765534e-06,5.575329196392729e-06,0.0005188243015802922,-0.006049328431421365,-0.02994624686901124,-0.041145115957917144,-0.05295261913002296,1411.553844060788,2226.132550905581,3699.083559034616,6127.678622311946,16199.631990320268,0.002045591702811664
120515,0.3961289431436944,0.0006758471165565941,2.392905761682483e-06,2.5061065207116732e-06,0.0002165957289489187,-0.005181124072873928,-0.03587801673328622,-0.05924783022216707,-0.08298342534137775,1070.4492678943052,1640.1633472951473,2432.7551416470606,11937.737813048074,19336.482764696342,0.000398389511985056
120717,0.42307254403061006,0.0014880213956670351,4.196213152482797e-06,4.808105253712354e-06,0.0004037850155702545,-0.005924598970938567,-0.023576285459517593,-0.03907769228058602,-0.05892614164874917,1363.502358426783,2064.48021931238,3205.977606205292,10795.89082980421,19387.630049906107,0.0012750742926353217
121416,0.3480982883878124,0.0014533698127150898,4.2825121244308e-06,4.686114458709667e-06,0.00039763376166272285,-0.00577365444376305,-0.02444151366344949,-0.049038395589786114,-0.07131571698825966,1333.422233765857,2042.2601230364926,3213.0184793029325,10477.105666555872,17684.765545411916,0.0012472117520928847
