subject_id,network,n_regions,CRRP_Allocation,CRRP_Flexibility,CRRP_Residual,CRRP_Contrast,CRRP_Switching
100206,Vis,29,0.37059257219375935,0.002043598658704134,7.220164052124613e-06,5.825941144644822e-06,0.0005765750242313062
100206,SomMot,35,0.37612682922529384,0.0021472718236168727,4.027719001946077e-06,5.2123066958205e-06,0.0004216880748477603
100206,DorsAttn,26,0.40235324248559373,0.0019925614630203416,5.025009457745149e-06,5.2322903301259014e-06,0.0004614259432039944
100206,SalVentAttn,22,0.34760360173185006,0.0026734848694774716,5.071037343971329e-06,6.741055328574575e-06,0.0005308135286261618
100206,Limbic,12,0.2927962045859571,0.001732092422246895,6.792310808393755e-06,5.454980982078177e-06,0.0005331406325539622
100206,Cont,30,0.3686711026309085,0.0027635173604761477,5.481051559102534e-06,7.268462242853199e-06,0.0005776308672466969
100206,Default,46,0.3610481248318135,0.004086608966248117,5.947122066724029e-06,8.246891070881295e-06,0.0006365671712445446
100307,Vis,29,0.38084132158085804,0.0008698637782691258,2.4155576467423254e-06,1.4248682764053186e-06,0.0001601410307446991
100307,SomMot,35,0.4723284223473809,0.0007205334753161971,8.595123469604076e-07,8.898190797228106e-07,7.652089299208062e-05
100307,DorsAttn,26,0.398859062814298,0.000981008479440161,1.6929842076760993e-06,1.7255503959350746e-06,0.0001504987843972106
100307,SalVentAttn,22,0.4117374194679153,0.0009837660881108561,1.287872427233926e-06,1.26296331859244e-06,0.00011047349833005334
100307,Limbic,12,0.4107271762595824,0.001355340272060109,1.7093866884372377e-06,1.347405121955528e-06,0.00012861109114779308
100307,Cont,30,0.395903209121293,0.001081560875561324,2.184904143599932e-06,2.5777175567087307e-06,0.00020977888273452803
100307,Default,46,0.3960923666772723,0.0005908577628054766,1.5407162569806122e-06,1.6125005708573142e-06,0.0001374805272447452
100408,Vis,29,0.34001039975587655,0.0004930657673327152,3.56741135400072e-06,3.0414660960722577e-06,0.0002874668491935317
100408,SomMot,35,0.4227145338660851,0.0006705663125035554,2.0784798828483337e-06,2.042276463604108e-06,0.0001853031012410819
100408,DorsAttn,26,0.3922549141332443,0.000871040435119183,3.071126192385838e-06,2.975417860757681e-06,0.00027092687582594047
100408,SalVentAttn,22,0.40862001263200765,0.0010238093594350929,2.7638930972932383e-06,2.9779950767589238e-06,0.00025873859988829323
100408,Limbic,12,0.2721850231140709,0.0011698702331975179,3.747308520065671e-06,3.3926194714625845e-06,0.0003047366067242441
100408,Cont,30,0.3943267221009874,0.001771465092585407,3.9725596921122266e-06,4.034552941846752e-06,0.0003632302156324515
100408,Default,46,0.3595935182415493,0.0011859573112901545,3.614942314572501e-06,4.362357200292279e-06,0.00035609842975478574
100610,Vis,29,0.3727114804080423,0.0024150424945688876,7.067887755843004e-06,6.526044945957723e-06,0.0005986178651073641
100610,SomMot,35,0.41400356808028177,0.0034014148671235533,4.939805070548321e-06,6.172733905902161e-06,0.000505415278963465
100610,DorsAttn,26,0.41875939179969485,0.003524365314897017,6.596490808374569e-06,6.1544326191367346e-06,0.0005742248493038946
100610,SalVentAttn,22,0.37500605597612396,0.003548283188938467,5.553261154081869e-06,7.043264960127099e-06,0.0005644298338559147
100610,Limbic,12,0.3230151838773256,0.003060986239938114,6.624497926771497e-06,6.963202131877596e-06,0.0006052936365349232
100610,Cont,30,0.39596759126967673,0.004609098665900568,7.560269052204862e-06,8.683200859893381e-06,0.0007374786397544239
100610,Default,46,0.3587958265034382,0.004899367620076738,6.728933652414398e-06,9.825471644069618e-06,0.0007394319266699293
